id_x,trade_date,symbol,sector,change_pct,sector_strength,position_pct,total_score,intelligence_score,created_at,rank,grade,id_y,return_1d,return_5d,return_10d,return_20d,success_1d,success_5d,success_10d,success_20d,strong_win,strong_loss,top10_pick,top20_pick,future_direction
13134,2025-07-03,ETERNAL.NS,CONSUMER,0.42,0.42,75.85,85.91836734693878,76.53061224489795,2026-06-16 15:55:08,5,B,29147,0.21084914701934235,0.7667241709794901,-0.46003450258771145,17.998849913743527,1,1,0,1,1,0,1,1,BULLISH
13329,2025-07-09,BAJFINANCE.NS,FINANCIALS,1.4,0.46833333333333327,78.63,88.46938775510205,81.22448979591837,2026-06-16 15:55:08,2,B,26820,0.7495215819689511,-2.0040399744843738,2.944928768870926,-6.7988517967255,1,0,1,0,0,1,1,1,BEARISH
13381,2025-07-10,RELIANCE.NS,ENERGY,-0.12,-0.08,78.19,77.44897959183673,75.3061224489796,2026-06-16 15:55:08,16,C,34850,-1.4500395465330873,-2.689164249934086,-7.533614553124172,-8.423411547587659,0,0,0,0,0,1,0,1,BEARISH
13386,2025-07-10,HDFCBANK.NS,BANKING,-0.25,-0.14666666666666667,83.08,73.16326530612245,75.3061224489796,2026-06-16 15:55:08,18,C,29929,-1.1215232778386999,-0.962017744990527,0.39876383212042665,-0.5383311733625737,0,0,1,0,0,0,0,1,BEARISH
13481,2025-07-14,INDUSINDBK.NS,BANKING,1.02,0.03833333333333332,83.56,77.04081632653062,79.08163265306122,2026-06-16 15:55:08,3,B,31485,1.5444905486399234,-1.0142923005993625,-7.555325034578154,-9.722222222222225,1,0,0,0,0,1,1,1,BEARISH
13680,2025-07-18,BAJFINANCE.NS,FINANCIALS,2.03,-0.6116666666666667,81.37,72.14285714285714,75.91836734693878,2026-06-16 15:55:08,6,C,26827,0.6847133757961832,-2.9989384288747347,-7.048832271762205,-3.9065817409766406,1,0,0,0,0,0,1,1,BEARISH
13723,2025-07-21,HDFCBANK.NS,BANKING,2.2,0.8333333333333334,76.9,89.48979591836735,83.6734693877551,2026-06-16 15:55:08,9,C,29936,0.3299175206198405,0.3999000249937516,-0.42489377655586097,-0.46988252936766267,1,1,0,0,0,0,1,1,BEARISH
13773,2025-07-22,HINDALCO.NS,METALS,1.08,0.31999999999999995,83.82,82.75510204081633,84.08163265306122,2026-06-16 15:55:08,2,B,30714,0.7753061372364355,0.38403014274329267,-0.4275052532425088,1.5651039779726206,1,1,0,1,0,0,1,1,BULLISH
13774,2025-07-22,TATASTEEL.NS,METALS,0.01,0.31999999999999995,80.75,81.53061224489795,79.79591836734693,2026-06-16 15:55:08,5,B,36412,-0.16560353287535687,-0.8280176643768365,-2.0976447497546538,-0.6869479882237516,0,0,0,0,0,0,1,1,BEARISH
13776,2025-07-22,POWERGRID.NS,ENERGY,0.27,-0.22800000000000004,84.95,76.53061224489795,80.40816326530611,2026-06-16 15:55:08,7,B,34599,0.4869039623908625,-1.5782404298186663,-3.962390866353261,-3.156480859637352,1,0,0,0,0,0,1,1,BEARISH
13777,2025-07-22,HDFCBANK.NS,BANKING,0.33,-0.41,84.06,73.57142857142857,77.9591836734694,2026-06-16 15:55:08,14,C,29937,0.8569577998106745,0.722435354491555,-1.4697822729310945,-0.9416571172338132,1,1,0,0,0,0,0,1,BEARISH
13825,2025-07-23,SBIN.NS,BANKING,0.69,0.7666666666666666,76.29,77.44897959183673,75.3061224489796,2026-06-16 15:55:08,7,B,35377,-0.603180405775901,-2.315237921160056,-1.888746725156888,0.6153658685188653,0,0,0,1,0,0,1,1,BULLISH
13924,2025-07-25,HDFCBANK.NS,BANKING,-0.48,-1.085,79.2,73.77551020408164,78.57142857142857,2026-06-16 15:55:08,19,C,29940,0.19455252918288393,0.37912800558715637,-1.531477601516503,-2.0203531876683627,1,1,0,0,0,0,0,1,BEARISH
13926,2025-07-25,APOLLOHOSP.NS,PHARMA,1.43,1.4549999999999998,78.39,72.34693877551021,77.75510204081633,2026-06-16 15:55:08,1,B,25537,-1.499631786838053,-1.5665796344647518,-5.141594697730468,5.121510343442458,0,0,0,1,1,0,1,1,BULLISH
14216,2025-08-04,HINDALCO.NS,METALS,2.27,2.4675000000000002,79.78,75.81632653061224,79.59183673469389,2026-06-16 15:55:08,5,B,30723,-0.08724734622655557,-2.159371819107172,2.762832630507489,8.034026465028354,0,0,1,1,1,0,1,1,BULLISH
14323,2025-08-06,M&M.NS,AUTO,0.48,-0.41200000000000003,84.21,68.77551020408163,75.10204081632654,2026-06-16 15:55:08,19,C,33315,-0.5081332300542244,1.6948102246320627,4.573199070487991,10.342370255615807,0,1,1,1,1,0,0,1,BULLISH
14952,2025-08-26,BRITANNIA.NS,FMCG,3.87,0.7157142857142856,79.62,74.89795918367348,76.53061224489797,2026-06-16 15:55:09,19,C,27889,-0.7718324516520684,2.4715983002341515,7.5188621975544185,3.555632642442112,0,1,1,1,0,0,0,1,BULLISH
15001,2025-08-28,CIPLA.NS,PHARMA,0.03,-0.4975,84.72,69.6938775510204,76.12244897959184,2026-06-16 15:55:09,12,C,28149,0.5758400303739882,-0.1581978105423021,-1.2339429222299563,-4.467506169714606,1,0,0,0,0,0,0,1,BEARISH
15049,2025-08-29,ASIANPAINT.NS,FMCG,1.19,0.9057142857142857,78.72,75.51020408163265,77.85714285714286,2026-06-16 15:55:09,3,B,25819,2.0487572460890937,2.4338918446756206,1.0998173588501656,-6.980068291908193,1,1,1,0,0,1,1,1,BEARISH
15094,2025-09-01,M&M.NS,AUTO,3.62,2.826,77.87,86.3265306122449,84.08163265306122,2026-06-16 15:55:09,5,B,33331,-2.440127888037645,7.416902937805396,6.481872473909636,3.097665440067558,0,1,1,1,0,0,1,1,BULLISH
15152,2025-09-02,NESTLEIND.NS,FMCG,2.26,0.6771428571428572,75.9,75.10204081632654,76.53061224489795,2026-06-16 15:55:09,4,B,33850,-0.5079523690565522,0.10825214422516066,0.2747939045715675,-3.9970022483137644,0,1,1,0,0,0,1,1,BEARISH
