,count,unique,top,freq,mean,std,min,25%,50%,75%,max
id_x,12446.0,,,,18770.779527559054,3598.6512298928455,12545.0,15656.25,18767.5,21878.75,25186.0
trade_date,12446,254,2025-06-17,49,,,,,,,
symbol,12446,49,INFY.NS,254,,,,,,,
sector,12446,14,FMCG,1778,,,,,,,
change_pct,12446.0,,,,0.01733649365257914,1.5700697295937618,-33.05,-0.8,0.0,0.78,10.38
sector_strength,12446.0,,,,0.01733649365257913,1.2253514352280337,-10.65,-0.5980000000000001,0.0019999999999999797,0.62,10.38
position_pct,12446.0,,,,52.62361802988912,33.04316820288118,0.0,22.04,54.605000000000004,83.1575,100.0
total_score,12446.0,,,,51.02040816326531,20.16793015084626,3.7755102040816326,35.51020408163265,50.765306122448976,65.81632653061224,100.0
intelligence_score,12446.0,,,,51.02040816326531,17.792520459246457,3.9795918367346936,37.55102040816327,50.40816326530612,63.77551020408164,100.0
created_at,12446,19,2026-06-16 15:55:08,1372,,,,,,,
rank,12446.0,,,,25.0,14.142703797758369,1.0,13.0,25.0,37.0,49.0
grade,12446,3,C,10727,,,,,,,
id_y,12446.0,,,,31333.562992125986,3663.6963191142595,24991.0,28162.25,31333.5,34504.75,37681.0
return_1d,12397.0,,,,0.026086824320452607,1.6012554164055037,-33.04673989249825,-0.7958235181766091,0.0,0.7862851250322277,15.259729068284452
return_5d,12348.0,,,,0.09577338277382598,3.5418037095824113,-36.737555503622346,-1.9161106353812163,0.01089383944045729,1.994826053215514,24.340986394557824
return_10d,12201.0,,,,0.1478298463902574,5.056100703966938,-38.73638700630989,-2.762781835503331,0.02535175560908169,2.997110699038337,25.29565612917898
return_20d,11711.0,,,,0.15918899856165264,7.059825907985778,-41.56931836744219,-3.8303673225168833,0.10851871947911426,4.228512399928005,36.93427336820561
success_1d,12446.0,,,,0.48561786919492206,0.49981319118409673,0.0,0.0,0.0,1.0,1.0
success_5d,12446.0,,,,0.4966254218222722,0.5000086996203018,0.0,0.0,0.0,1.0,1.0
success_10d,12446.0,,,,0.4922866784509079,0.499960586725524,0.0,0.0,0.0,1.0,1.0
success_20d,12446.0,,,,0.4780652418447694,0.49953870331815736,0.0,0.0,0.0,1.0,1.0
strong_win,12446.0,,,,0.2012694841716214,0.4009650814682711,0.0,0.0,0.0,0.0,1.0
strong_loss,12446.0,,,,0.18126305640366383,0.38525145787884696,0.0,0.0,0.0,0.0,1.0
top10_pick,12446.0,,,,0.20408163265306123,0.40304512387718466,0.0,0.0,0.0,0.0,1.0
top20_pick,12446.0,,,,0.40816326530612246,0.4915134025120038,0.0,0.0,0.0,1.0,1.0
future_direction,12446,2,BEARISH,6496,,,,,,,
