trade_date,index_name,sector,scenario,scenario_id,fingerprint,change_pct,intelligence_score,relative_strength,trend_score,momentum_score,volatility_score,liquidity_score,return_5d,direction_5d
2025-09-05,ADANIENT.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.11,52.22,0.08,50.0,51.03,100.0,60.0,4.8479,UP
2025-09-05,ADANIPORTS.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.48,59.4,-0.51,70.0,46.98,100.0,80.0,5.3942,UP
2025-09-05,APOLLOHOSP.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-1.21,57.53,-1.24,80.0,47.65,100.0,60.0,0.8969,UP
2025-09-05,ASIANPAINT.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.44,64.95,0.41,100.0,54.36,100.0,70.0,-1.3024,DOWN
2025-09-05,AXISBANK.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.52,58.55,0.49,50.0,52.27,100.0,90.0,4.6785,UP
2025-09-05,BAJAJ-AUTO.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.15,58.77,0.12,100.0,53.74,100.0,40.0,-0.9357,DOWN
2025-09-05,BAJAJFINSV.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.61,65.65,0.58,100.0,57.65,100.0,70.0,3.331,UP
2025-09-05,BAJFINANCE.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.3,69.99,0.27,100.0,59.66,100.0,90.0,7.0019,UP
2025-09-05,BEL.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.46,63.34,-0.49,70.0,46.71,100.0,100.0,7.6861,UP
2025-09-05,BHARTIARTL.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.79,64.86,0.76,80.0,53.56,100.0,90.0,0.3852,FLAT
2025-09-05,BPCL.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.13,61.81,-0.16,70.0,49.04,100.0,90.0,1.76,UP
2025-09-05,BRITANNIA.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.12,59.04,-0.15,100.0,55.21,100.0,40.0,2.8144,UP
2025-09-05,CIPLA.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-1.55,56.33,-1.58,70.0,41.66,100.0,70.0,1.3647,UP
2025-09-05,COALINDIA.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.31,63.41,0.28,80.0,56.77,100.0,80.0,0.433,FLAT
2025-09-05,DRREDDY.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,1.21,61.47,1.18,80.0,56.19,100.0,70.0,3.8325,UP
2025-09-05,EICHERMOT.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,2.42,65.94,2.39,100.0,67.32,100.0,60.0,4.4753,UP
2025-09-05,ETERNAL.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.89,71.73,0.86,100.0,57.77,100.0,100.0,-2.3545,DOWN
2025-09-05,GRASIM.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.21,58.04,-0.24,80.0,50.19,100.0,60.0,-0.0713,FLAT
