factor,global_ic,regime_ic,shrunk_ic,icir,hit_rate,regime_days,reliability,direction,weight,window,test_regime
relative_strength,0.0020295192409122927,0.02184198182607391,0.009834428744157778,0.6314418556600315,0.5769230769230769,26,0.18214668913270138,1,0.08963639852900178,1,HIGH_VOL_DOWN
trend_score,0.035571223358785625,0.022489073390505123,0.030417649128856944,0.36174401567134656,0.6153846153846154,26,0.11130585097579895,1,0.16941724676224643,1,HIGH_VOL_DOWN
momentum_score,0.013965564773548548,0.036705712520387075,0.02292380479503039,1.1824481014032506,0.5384615384615384,26,0.31835141191625976,1,0.3651804011108746,1,HIGH_VOL_DOWN
volatility_score,0.009525487862764484,-0.037442826526106344,-0.008977181441942206,1.5304294671130116,0.38461538461538464,26,0.4709013744963113,-1,0.21153583076791505,1,HIGH_VOL_DOWN
liquidity_score,0.04096314707082248,0.01224694367031151,0.029650703306984827,0.4111299800110865,0.5384615384615384,26,0.1106888407722156,1,0.16423012282996224,1,HIGH_VOL_DOWN
relative_strength,-0.0009007853536196841,-0.006207094618260472,-0.0037390437974973148,0.20177766683189777,0.5217391304347826,46,0.05263765221701681,-1,0.027562048134700694,2,HIGH_VOL_DOWN
trend_score,0.033767815470974495,0.01420338642750216,0.0233031208663265,0.3678909753431052,0.6086956521739131,46,0.1119668185826842,1,0.365391003645161,2,HIGH_VOL_DOWN
momentum_score,0.009285514913817936,0.004662639587463445,0.006812814157860883,0.15057927046247785,0.5,46,0.05,1,0.04770357979709272,2,HIGH_VOL_DOWN
volatility_score,-0.0030423462437394523,-0.011124534764291084,-0.00736537731287172,0.4063681017769397,0.5217391304347826,46,0.10600907002876687,-1,0.10934336842304562,2,HIGH_VOL_DOWN
liquidity_score,0.021682831854846887,0.041007923665365896,0.032019508869775656,1.9831489628405767,0.6086956521739131,46,0.6035670756471321,1,0.45,2,HIGH_VOL_DOWN
relative_strength,-0.0008759971635119019,-0.0008759971635119019,-0.0008759971635119018,0.7988636317357829,0.2857142857142857,14,0.05294117647058824,-1,0.0020561018407787026,3,SIDEWAYS
trend_score,0.024909034779588998,0.024909034779588998,0.024909034779588994,2.479223672346267,0.6428571428571429,14,0.3601392893024023,1,0.3977184481194069,3,SIDEWAYS
momentum_score,0.01447485819151739,0.01447485819151739,0.014474858191517389,0.7128084954575981,0.5,14,0.22452203373226443,1,0.14408594493921978,3,SIDEWAYS
volatility_score,-0.02730349773904562,-0.02730349773904562,-0.02730349773904562,0.36862044704345726,0.5714285714285714,14,0.38482963650936863,-1,0.45,3,SIDEWAYS
liquidity_score,-0.002517806446122913,-0.002517806446122913,-0.002517806446122913,2.4024102709365565,0.6428571428571429,14,0.05500000000000001,-1,0.006139505100594596,3,SIDEWAYS
relative_strength,-0.002498256051371393,-0.0021718066273730464,-0.0023894395767052774,0.0655760862099858,0.35,20,0.065,-1,0.050789844275478266,4,SIDEWAYS
trend_score,0.008500693261883954,0.04482824624677785,0.02060987759018192,1.020932901212996,0.5,20,0.255233225303249,1,0.45,4,SIDEWAYS
momentum_score,0.0054446354129277195,-0.003243299862595908,0.0025486569877531777,0.08453083652915394,0.5,20,0.05,1,0.041672433853581124,4,SIDEWAYS
volatility_score,-0.020724214597956852,0.013354665201252081,-0.009364587998220543,0.33763587287347674,0.6,20,0.10129076186204301,-1,0.31018870855885694,4,SIDEWAYS
liquidity_score,-0.013172770957161265,0.013946221853003826,-0.0041331066871062375,0.3964335947275251,0.45,20,0.10901923855006941,-1,0.14734901331208372,4,SIDEWAYS
relative_strength,-0.004729256651181475,-0.012200398282722598,-0.007991304405798021,0.3864297890540917,0.41935483870967744,31,0.11218929359634919,-1,0.03636045566071126,5,SIDEWAYS
trend_score,0.005914685289352713,0.06219326758279698,0.030487024037194575,1.5204915955831948,0.5161290322580645,31,0.39238492789243734,1,0.45,5,SIDEWAYS
momentum_score,0.002713202481379791,-0.016451586061958803,-0.005654522093880721,0.5037939635757317,0.4838709677419355,31,0.1300113454388985,-1,0.029815176689398294,5,SIDEWAYS
volatility_score,0.0009347054727303942,0.049763633518347034,0.022254378281379914,1.4570992269703285,0.6451612903225806,31,0.4700320087001059,1,0.42423171169668655,5,SIDEWAYS
liquidity_score,-0.017382767829431288,-0.009792062954814766,-0.014068516405302947,0.34081782414967104,0.3870967741935484,31,0.10444417191683468,-1,0.059592655953203864,5,SIDEWAYS
