scenario_id,primary_scenario,fingerprint,scenario_observations,first_observation,last_observation,candidate,oos_windows,oos_gap_to_10,oos_gap_to_20,evidence_status,coverage_status,matrix_present
UNEXPLORED_1,FLAT,32a9608b9489497d,1,2025-08-07,2025-08-07,TRACK_B_BASELINE_FAILURE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_1,FLAT,32a9608b9489497d,1,2025-08-07,2025-08-07,TRACK_B_CONDITIONAL_SCORE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_1,FLAT,32a9608b9489497d,1,2025-08-07,2025-08-07,TRACK_B_FACTOR_AGREEMENT,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_1,FLAT,32a9608b9489497d,1,2025-08-07,2025-08-07,TRACK_C_FACTOR_INTERACTION,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_1,FLAT,32a9608b9489497d,1,2025-08-07,2025-08-07,TRACK_C_REGIME_AWARE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_1,FLAT,32a9608b9489497d,1,2025-08-07,2025-08-07,TRACK_C_SCENARIO_WEAPON,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_10,FLAT,f1a5ebdcaa813af6,3,2025-08-28,2025-09-01,TRACK_B_BASELINE_FAILURE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_10,FLAT,f1a5ebdcaa813af6,3,2025-08-28,2025-09-01,TRACK_B_CONDITIONAL_SCORE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_10,FLAT,f1a5ebdcaa813af6,3,2025-08-28,2025-09-01,TRACK_B_FACTOR_AGREEMENT,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_10,FLAT,f1a5ebdcaa813af6,3,2025-08-28,2025-09-01,TRACK_C_FACTOR_INTERACTION,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_10,FLAT,f1a5ebdcaa813af6,3,2025-08-28,2025-09-01,TRACK_C_REGIME_AWARE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_10,FLAT,f1a5ebdcaa813af6,3,2025-08-28,2025-09-01,TRACK_C_SCENARIO_WEAPON,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_11,FLAT,6df105900ba2225b,1,2025-09-02,2025-09-02,TRACK_B_BASELINE_FAILURE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_11,FLAT,6df105900ba2225b,1,2025-09-02,2025-09-02,TRACK_B_CONDITIONAL_SCORE,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
UNEXPLORED_11,FLAT,6df105900ba2225b,1,2025-09-02,2025-09-02,TRACK_B_FACTOR_AGREEMENT,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,False
