primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d
CHOPPY,intelligence_score,HIGH,622,31,46,45.337620578778136,-0.3741183279742765,-0.29025,-36.7376,10.7911
CHOPPY,intelligence_score,MEDIUM,897,31,49,48.04905239687848,-0.0030959866220735834,-0.0944,-9.7891,13.4597
CHOPPY,liquidity_score,HIGH,417,31,23,47.24220623501199,-0.22606906474820146,-0.1887,-36.7376,13.4597
CHOPPY,liquidity_score,MEDIUM,162,31,8,53.086419753086425,0.5020685185185185,0.2989,-8.5783,9.3286
CHOPPY,liquidity_score,VERY_HIGH,940,31,38,45.744680851063826,-0.23674787234042555,-0.27895,-15.3226,11.4027
CHOPPY,momentum_score,HIGH,154,30,47,38.311688311688314,-0.6584681818181818,-0.68065,-8.7905,10.4581
CHOPPY,momentum_score,LOW,140,28,44,48.57142857142857,0.05780928571428575,-0.0616,-9.7891,12.1019
CHOPPY,momentum_score,MEDIUM,1219,31,49,47.82608695652174,-0.11629819524200163,-0.128,-36.7376,13.4597
CHOPPY,momentum_score,VERY_HIGH,6,4,6,50.0,-0.06673333333333331,-0.1618,-3.0464,3.0868
CHOPPY,relative_strength,LOW,1519,31,49,46.93877551020408,-0.15502218564845294,-0.189,-36.7376,13.4597
CHOPPY,trend_score,HIGH,251,31,49,45.0199203187251,-0.11747529880478086,-0.2836,-9.7891,11.3035
CHOPPY,trend_score,MEDIUM,448,31,49,46.205357142857146,-0.13363214285714292,-0.2509,-9.5029,13.4597
CHOPPY,trend_score,VERY_HIGH,820,31,49,47.92682926829268,-0.17820146341463416,-0.08655,-36.7376,11.4027
CHOPPY,volatility_score,HIGH,250,26,43,44.800000000000004,-0.183168,-0.4979,-9.7891,13.4597
CHOPPY,volatility_score,LOW,1,1,1,100.0,3.8459,3.8459,3.8459,3.8459
CHOPPY,volatility_score,VERY_HIGH,1268,31,49,47.3186119873817,-0.15262823343848572,-0.16795,-36.7376,11.4027
FLAT,intelligence_score,HIGH,122,6,43,53.278688524590166,0.15915081967213113,0.21539999999999998,-7.5529,9.2944
FLAT,intelligence_score,LOW,2,2,1,0.0,-5.1516,-5.1516,-7.1436,-3.1596
FLAT,intelligence_score,MEDIUM,170,6,47,52.94117647058824,0.13372529411764705,0.162,-7.2081,9.2145
FLAT,liquidity_score,HIGH,102,6,22,48.03921568627451,-0.24659509803921575,-0.1586,-7.2081,5.6309
FLAT,liquidity_score,MEDIUM,30,6,7,53.333333333333336,0.37138666666666675,0.3953,-4.5028,9.2145
FLAT,liquidity_score,VERY_HIGH,162,6,33,55.55555555555556,0.2830716049382716,0.2414,-7.5529,9.2944
FLAT,momentum_score,HIGH,17,5,12,41.17647058823529,-0.17964117647058828,-0.7583,-2.6282,4.4753
FLAT,momentum_score,LOW,11,5,8,36.36363636363637,-1.7185727272727271,-2.2754,-7.1436,3.3968
