primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d,scenario_baseline_observations,scenario_baseline_positive_5d_pct,scenario_baseline_mean_return_5d,global_baseline_observations,global_baseline_positive_5d_pct,global_baseline_mean_return_5d,positive_rate_lift_vs_scenario,mean_return_lift_vs_scenario,positive_rate_lift_vs_global,mean_return_lift_vs_global,predictive_strength_status,predictive_strength_reason
TREND_DOWN,volatility_score,MEDIUM,1,1,1,100.0,8.2004,8.2004,8.2004,8.2004,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,49.69264814359479,8.069390041799853,49.148320745621085,8.052603824521935,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
CHOPPY,volatility_score,LOW,1,1,1,100.0,3.8459,3.8459,3.8459,3.8459,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,53.06122448979592,4.000922185648453,49.148320745621085,3.698103824521935,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
TREND_UP,momentum_score,VERY_HIGH,27,19,17,62.96296296296296,0.9409740740740742,1.5922,-7.3404,9.1931,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,12.349834807156277,0.8707412536845575,12.111283708584047,0.793177898596009,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
LOW_VOL,volatility_score,HIGH,18,7,12,38.88888888888889,0.4794666666666665,-0.65635,-5.1901,10.196,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,-13.832199546485263,0.3303731292517005,-11.962790365490022,0.33167049118860126,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
HIGH_VOL,volatility_score,MEDIUM,5,5,1,80.0,2.43274,2.3116,-0.044,4.1032,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,6.122448979591837,0.14835346938775507,29.148320745621085,2.2849438245219345,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
CHOPPY,momentum_score,VERY_HIGH,6,4,6,50.0,-0.0667333333333333,-0.1618,-3.0464,3.0868,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,3.0612244897959187,0.08828885231511964,-0.8516792543789151,-0.21452950881139854,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
HIGH_VOL,liquidity_score,MEDIUM,20,5,4,80.0,2.220995,2.62965,-2.666,4.9007,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,6.122448979591837,-0.063391530612245,29.148320745621085,2.073198824521935,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
TREND_DOWN,intelligence_score,LOW,27,17,6,51.85185185185185,0.0391740740740739,0.0794,-5.5597,7.9851,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,1.5444999954466354,-0.09183588412607362,1.0001725974729325,-0.10862210140399133,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
FLAT,momentum_score,HIGH,17,5,12,41.17647058823529,-0.1796411764705882,-0.7583,-2.6282,4.4753,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,-11.544617847138866,-0.28796260504201676,-9.675208666143625,-0.3274373519486534,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
FLAT,volatility_score,HIGH,10,4,9,50.0,-0.35875,-0.0693,-6.3075,4.8257,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,-2.7210884353741562,-0.4670714285714286,-0.8516792543789151,-0.5065461754780652,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
