primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d,reliability_status,reliability_score,reliability_reason
TREND_UP,trend_score,MEDIUM,868,84,49,56.91244239631337,0.7114729262672811,0.49985,-9.9948,16.3503,ROBUST,91.38,"Strong sample and breadth (868 observations, 84 dates, 49 symbols) with consistent evidence (positive_5d_pct=56.91%, mean=0.7115, median=0.4999). Evidence strength only; not predictive validation."
CHOPPY,intelligence_score,HIGH,622,31,46,45.337620578778136,-0.3741183279742765,-0.29025,-36.7376,10.7911,EARLY,90.93,"Minimum breadth is met (622 observations, 31 dates, 46 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,liquidity_score,VERY_HIGH,940,31,38,45.74468085106383,-0.2367478723404255,-0.27895,-15.3226,11.4027,EARLY,90.85,"Minimum breadth is met (940 observations, 31 dates, 38 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,intelligence_score,HIGH,1224,82,46,54.08496732026144,0.2777286764705882,0.29015,-14.5157,13.6238,ROBUST,90.82,"Strong sample and breadth (1224 observations, 82 dates, 46 symbols) with consistent evidence (positive_5d_pct=54.08%, mean=0.2777, median=0.2902). Evidence strength only; not predictive validation."
CHOPPY,trend_score,MEDIUM,448,31,49,46.205357142857146,-0.1336321428571429,-0.2509,-9.5029,13.4597,EARLY,90.76,"Minimum breadth is met (448 observations, 31 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_UP,trend_score,HIGH,594,83,49,53.70370370370371,0.2906712121212121,0.2262,-8.8731,12.365,ROBUST,90.74,"Strong sample and breadth (594 observations, 83 dates, 49 symbols) with consistent evidence (positive_5d_pct=53.70%, mean=0.2907, median=0.2262). Evidence strength only; not predictive validation."
TREND_DOWN,trend_score,VERY_HIGH,1586,82,49,53.59394703656999,0.1849916771752837,0.256,-35.87,13.6238,ROBUST,90.72,"Strong sample and breadth (1586 observations, 82 dates, 49 symbols) with consistent evidence (positive_5d_pct=53.59%, mean=0.1850, median=0.2560). Evidence strength only; not predictive validation."
TREND_DOWN,volatility_score,HIGH,807,75,43,53.53159851301115,0.5765576208178439,0.3846,-12.9323,18.484,ROBUST,90.71,"Strong sample and breadth (807 observations, 75 dates, 43 symbols) with consistent evidence (positive_5d_pct=53.53%, mean=0.5766, median=0.3846). Evidence strength only; not predictive validation."
CHOPPY,relative_strength,LOW,1519,31,49,46.93877551020408,-0.1550221856484529,-0.189,-36.7376,13.4597,EARLY,90.61,"Minimum breadth is met (1519 observations, 31 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,liquidity_score,HIGH,417,31,23,47.24220623501199,-0.2260690647482014,-0.1887,-36.7376,13.4597,EARLY,90.55,"Minimum breadth is met (417 observations, 31 dates, 23 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,volatility_score,VERY_HIGH,1268,31,49,47.3186119873817,-0.1526282334384857,-0.16795,-36.7376,11.4027,EARLY,90.54,"Minimum breadth is met (1268 observations, 31 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,trend_score,MEDIUM,1629,82,49,47.6365868631062,0.0926298956414978,-0.1725,-13.5864,18.484,EARLY,90.47,"Minimum breadth is met (1629 observations, 82 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,liquidity_score,VERY_HIGH,2501,82,38,52.17912834866053,0.3154317473010796,0.1825,-14.5157,17.326,ROBUST,90.44,"Strong sample and breadth (2501 observations, 82 dates, 38 symbols) with consistent evidence (positive_5d_pct=52.18%, mean=0.3154, median=0.1825). Evidence strength only; not predictive validation."
CHOPPY,momentum_score,MEDIUM,1219,31,49,47.82608695652174,-0.1162981952420016,-0.128,-36.7376,13.4597,EARLY,90.43,"Minimum breadth is met (1219 observations, 31 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,trend_score,VERY_HIGH,820,31,49,47.92682926829268,-0.1782014634146341,-0.08655,-36.7376,11.4027,EARLY,90.41,"Minimum breadth is met (820 observations, 31 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_UP,trend_score,VERY_HIGH,2648,84,49,48.036253776435046,-0.1933962613293051,-0.1507,-33.2122,12.3968,EARLY,90.39,"Minimum breadth is met (2648 observations, 84 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,intelligence_score,MEDIUM,897,31,49,48.04905239687848,-0.0030959866220735,-0.0944,-9.7891,13.4597,EARLY,90.39,"Minimum breadth is met (897 observations, 31 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_UP,intelligence_score,MEDIUM,2022,84,49,51.38476755687438,0.2398529179030662,0.07635,-33.2122,16.3503,ROBUST,90.28,"Strong sample and breadth (2022 observations, 84 dates, 49 symbols) with consistent evidence (positive_5d_pct=51.38%, mean=0.2399, median=0.0764). Evidence strength only; not predictive validation."
TREND_DOWN,trend_score,HIGH,803,82,49,51.18306351183064,0.1992681195516811,0.1202,-13.047,14.3204,ROBUST,90.24,"Strong sample and breadth (803 observations, 82 dates, 49 symbols) with consistent evidence (positive_5d_pct=51.18%, mean=0.1993, median=0.1202). Evidence strength only; not predictive validation."
TREND_UP,volatility_score,VERY_HIGH,3502,84,49,51.05653912050258,0.0826199885779554,0.0550999999999999,-33.2122,16.3503,ROBUST,90.21,"Strong sample and breadth (3502 observations, 84 dates, 49 symbols) with consistent evidence (positive_5d_pct=51.06%, mean=0.0826, median=0.0551). Evidence strength only; not predictive validation."
TREND_UP,momentum_score,MEDIUM,3328,84,49,51.051682692307686,0.1005487680288461,0.058,-31.3997,16.3503,ROBUST,90.21,"Strong sample and breadth (3328 observations, 84 dates, 49 symbols) with consistent evidence (positive_5d_pct=51.05%, mean=0.1005, median=0.0580). Evidence strength only; not predictive validation."
TREND_DOWN,liquidity_score,HIGH,1098,82,25,48.998178506375226,-0.0554486338797813,-0.07385,-35.87,18.484,EARLY,90.2,"Minimum breadth is met (1098 observations, 82 dates, 25 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,intelligence_score,MEDIUM,2767,82,49,49.18684495843874,0.0951592338272496,-0.0352,-35.87,18.484,EARLY,90.16,"Minimum breadth is met (2767 observations, 82 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_UP,relative_strength,LOW,4110,84,49,50.72992700729927,0.0676651824817518,0.04065,-33.2122,16.3503,ROBUST,90.15,"Strong sample and breadth (4110 observations, 84 dates, 49 symbols) with consistent evidence (positive_5d_pct=50.73%, mean=0.0677, median=0.0406). Evidence strength only; not predictive validation."
TREND_UP,liquidity_score,HIGH,1171,84,26,50.72587532023911,0.0644929974380871,0.0459,-33.2122,16.3503,ROBUST,90.15,"Strong sample and breadth (1171 observations, 84 dates, 26 symbols) with consistent evidence (positive_5d_pct=50.73%, mean=0.0645, median=0.0459). Evidence strength only; not predictive validation."
TREND_DOWN,relative_strength,LOW,4018,82,49,50.696864111498265,0.1503990044798407,0.0530999999999999,-35.87,18.484,ROBUST,90.14,"Strong sample and breadth (4018 observations, 82 dates, 49 symbols) with consistent evidence (positive_5d_pct=50.70%, mean=0.1504, median=0.0531). Evidence strength only; not predictive validation."
TREND_UP,volatility_score,HIGH,600,64,45,49.333333333333336,0.0358419999999999,-0.09475,-13.2693,13.9366,EARLY,90.13,"Minimum breadth is met (600 observations, 64 dates, 45 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,momentum_score,MEDIUM,2932,82,49,50.51159618008185,0.1324509208731241,0.04255,-35.87,17.2931,ROBUST,90.1,"Strong sample and breadth (2932 observations, 82 dates, 49 symbols) with consistent evidence (positive_5d_pct=50.51%, mean=0.1325, median=0.0425). Evidence strength only; not predictive validation."
TREND_UP,liquidity_score,VERY_HIGH,2503,84,38,50.49940071913704,0.039958170195765,0.0369,-17.0136,13.9366,ROBUST,90.1,"Strong sample and breadth (2503 observations, 84 dates, 38 symbols) with consistent evidence (positive_5d_pct=50.50%, mean=0.0400, median=0.0369). Evidence strength only; not predictive validation."
TREND_UP,intelligence_score,HIGH,2084,84,47,50.14395393474088,-0.0928418426103646,0.0155,-16.5777,12.3968,EARLY,90.03,"Minimum breadth is met (2084 observations, 84 dates, 47 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_UP,momentum_score,HIGH,616,81,49,50.16233766233766,-0.0047488636363636,0.0195,-33.2122,10.7666,EARLY,90.03,"Minimum breadth is met (616 observations, 81 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,volatility_score,VERY_HIGH,3199,82,49,50.04688965301657,0.045443638637074,0.0079,-35.87,17.2931,ROBUST,90.01,"Strong sample and breadth (3199 observations, 82 dates, 49 symbols) with consistent evidence (positive_5d_pct=50.05%, mean=0.0454, median=0.0079). Evidence strength only; not predictive validation."
TREND_DOWN,momentum_score,LOW,789,76,49,49.93662864385298,0.1549504435994927,0.0,-13.047,18.484,ROBUST,90.01,"Strong sample and breadth (789 observations, 76 dates, 49 symbols) with consistent evidence (positive_5d_pct=49.94%, mean=0.1550, median=0.0000). Evidence strength only; not predictive validation."
LOW_VOL,intelligence_score,MEDIUM,517,18,48,56.67311411992263,0.2622912959381044,0.3458,-30.1183,10.196,PROMISING,88.83,"Adequate sample and breadth (517 observations, 18 dates, 48 symbols) with directional/central-tendency consistency (positive_5d_pct=56.67%, mean=0.2623, median=0.3458). Evidence strength only; not predictive validation."
LOW_VOL,momentum_score,MEDIUM,786,18,49,54.4529262086514,0.2400073791348601,0.24775,-30.1183,14.1326,PROMISING,88.39,"Adequate sample and breadth (786 observations, 18 dates, 49 symbols) with directional/central-tendency consistency (positive_5d_pct=54.45%, mean=0.2400, median=0.2477). Evidence strength only; not predictive validation."
LOW_VOL,liquidity_score,VERY_HIGH,497,18,32,53.52112676056338,0.266282092555332,0.2135,-13.1396,14.1326,PROMISING,88.2,"Adequate sample and breadth (497 observations, 18 dates, 32 symbols) with directional/central-tendency consistency (positive_5d_pct=53.52%, mean=0.2663, median=0.2135). Evidence strength only; not predictive validation."
LOW_VOL,volatility_score,VERY_HIGH,863,18,49,53.07068366164543,0.1467952491309386,0.1699,-30.1183,14.1326,PROMISING,88.11,"Adequate sample and breadth (863 observations, 18 dates, 49 symbols) with directional/central-tendency consistency (positive_5d_pct=53.07%, mean=0.1468, median=0.1699). Evidence strength only; not predictive validation."
LOW_VOL,intelligence_score,HIGH,363,18,44,47.10743801652893,-0.0085735537190082,-0.074,-13.1396,14.1326,EARLY,88.08,"Minimum breadth is met (363 observations, 18 dates, 44 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
LOW_VOL,relative_strength,LOW,882,18,49,52.72108843537416,0.1490935374149659,0.14625,-30.1183,14.1326,PROMISING,88.04,"Adequate sample and breadth (882 observations, 18 dates, 49 symbols) with directional/central-tendency consistency (positive_5d_pct=52.72%, mean=0.1491, median=0.1462). Evidence strength only; not predictive validation."
TREND_DOWN,momentum_score,HIGH,282,67,48,54.96453900709219,0.3914677304964539,0.3858,-11.4739,12.4062,PROMISING,87.99,"Adequate sample and breadth (282 observations, 67 dates, 48 symbols) with directional/central-tendency consistency (positive_5d_pct=54.96%, mean=0.3915, median=0.3858). Evidence strength only; not predictive validation."
LOW_VOL,trend_score,VERY_HIGH,443,18,49,48.75846501128668,-0.0651726862302483,-0.0185,-30.1183,12.8949,EARLY,87.75,"Minimum breadth is met (443 observations, 18 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
LOW_VOL,liquidity_score,HIGH,283,18,22,49.82332155477032,-0.0760989399293286,-0.0062,-30.1183,10.196,EARLY,84.7,"Minimum breadth is met (283 observations, 18 dates, 22 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
LOW_VOL,trend_score,MEDIUM,271,18,48,59.040590405904055,0.4628723247232473,0.4874,-8.2029,10.196,PROMISING,84.47,"Adequate sample and breadth (271 observations, 18 dates, 48 symbols) with directional/central-tendency consistency (positive_5d_pct=59.04%, mean=0.4629, median=0.4874). Evidence strength only; not predictive validation."
CHOPPY,trend_score,HIGH,251,31,49,45.0199203187251,-0.1174752988047808,-0.2836,-9.7891,11.3035,EARLY,82.83,"Minimum breadth is met (251 observations, 31 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,volatility_score,HIGH,250,26,43,44.8,-0.183168,-0.4979,-9.7891,13.4597,PROMISING,82.71,"Adequate sample and breadth (250 observations, 26 dates, 43 symbols) with directional/central-tendency consistency (positive_5d_pct=44.80%, mean=-0.1832, median=-0.4979). Evidence strength only; not predictive validation."
TREND_DOWN,liquidity_score,MEDIUM,419,82,8,46.30071599045346,-0.2952482100238663,-0.1996,-11.4374,12.0454,EARLY,81.74,"Minimum breadth is met (419 observations, 82 dates, 8 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_UP,liquidity_score,MEDIUM,436,84,8,52.06422018348624,0.2352461009174312,0.09655,-8.7403,12.365,EARLY,81.41,"Minimum breadth is met (436 observations, 84 dates, 8 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,relative_strength,LOW,294,6,49,52.72108843537416,0.1083214285714286,0.1684999999999999,-7.5529,9.2944,EARLY,72.04,"Minimum breadth is met (294 observations, 6 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,volatility_score,VERY_HIGH,282,6,49,53.191489361702125,0.1621886524822694,0.1866,-7.5529,9.2944,EARLY,70.14,"Minimum breadth is met (282 observations, 6 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,momentum_score,HIGH,154,30,47,38.31168831168832,-0.6584681818181818,-0.68065,-8.7905,10.4581,PROMISING,68.0,"Adequate sample and breadth (154 observations, 30 dates, 47 symbols) with directional/central-tendency consistency (positive_5d_pct=38.31%, mean=-0.6585, median=-0.6806). Evidence strength only; not predictive validation."
FLAT,momentum_score,MEDIUM,266,6,49,54.13533834586466,0.2022733082706766,0.2187,-7.5529,9.2944,EARLY,67.66,"Minimum breadth is met (266 observations, 6 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,relative_strength,LOW,245,5,49,73.87755102040816,2.2843865306122444,2.3334,-11.438,13.2915,EARLY,66.86,"Minimum breadth is met (245 observations, 5 dates, 49 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
LOW_VOL,trend_score,HIGH,168,18,47,52.97619047619048,0.2079380952380952,0.1231,-7.2155,14.1326,PROMISING,66.1,"Adequate sample and breadth (168 observations, 18 dates, 47 symbols) with directional/central-tendency consistency (positive_5d_pct=52.98%, mean=0.2079, median=0.1231). Evidence strength only; not predictive validation."
TREND_UP,momentum_score,LOW,139,56,44,43.16546762589928,-0.5683697841726618,-0.6429,-9.9033,10.7716,PROMISING,64.53,"Adequate sample and breadth (139 observations, 56 dates, 44 symbols) with directional/central-tendency consistency (positive_5d_pct=43.17%, mean=-0.5684, median=-0.6429). Evidence strength only; not predictive validation."
CHOPPY,momentum_score,LOW,140,28,44,48.57142857142857,0.0578092857142857,-0.0616,-9.7891,12.1019,EARLY,63.62,"Minimum breadth is met (140 observations, 28 dates, 44 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,trend_score,VERY_HIGH,200,5,44,75.0,2.4851885,2.55475,-11.438,13.2915,EARLY,59.58,"Minimum breadth is met (200 observations, 5 dates, 44 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
CHOPPY,liquidity_score,MEDIUM,162,31,8,53.086419753086425,0.5020685185185185,0.2989,-8.5783,9.3286,EARLY,58.62,"Minimum breadth is met (162 observations, 31 dates, 8 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,liquidity_score,VERY_HIGH,168,5,34,73.21428571428571,2.1436363095238096,2.277,-11.438,9.8468,EARLY,53.89,"Minimum breadth is met (168 observations, 5 dates, 34 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,intelligence_score,MEDIUM,170,6,47,52.94117647058824,0.133725294117647,0.162,-7.2081,9.2145,EARLY,51.42,"Minimum breadth is met (170 observations, 6 dates, 47 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,volatility_score,HIGH,146,5,30,77.3972602739726,2.569164383561644,2.5665500000000003,-5.6835,13.2915,EARLY,51.06,"Minimum breadth is met (146 observations, 5 dates, 30 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,trend_score,VERY_HIGH,166,6,48,53.01204819277109,0.0592933734939759,0.206,-7.5529,9.2944,EARLY,50.77,"Minimum breadth is met (166 observations, 6 dates, 48 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,liquidity_score,VERY_HIGH,162,6,33,55.55555555555556,0.2830716049382716,0.2414,-7.5529,9.2944,EARLY,50.61,"Minimum breadth is met (162 observations, 6 dates, 33 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
