scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,candidate_oos_dates,overlap_oos_dates,overlap_pct_of_scenario,current_oos_windows,target_oos_windows,queue_priority,queue_action,research_priority,methodology_min_observations,execution_readiness,readiness_reason
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_BASELINE_FAILURE,28,100,10,35.71,5,10,P0,CONTINUE_OOS,HIGH,20,BLOCKED_NO_HOLDOUT,Only 10 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_CONDITIONAL_SCORE,28,100,10,35.71,5,10,P0,CONTINUE_OOS,HIGH,20,BLOCKED_NO_HOLDOUT,Only 10 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_FACTOR_AGREEMENT,28,100,10,35.71,5,10,P0,CONTINUE_OOS,HIGH,20,BLOCKED_NO_HOLDOUT,Only 10 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_BASELINE_FAILURE,10,100,10,100.0,5,10,P0,CONTINUE_OOS,HIGH,20,BLOCKED_NO_HOLDOUT,Only 10 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_CONDITIONAL_SCORE,10,100,10,100.0,5,10,P0,CONTINUE_OOS,HIGH,20,BLOCKED_NO_HOLDOUT,Only 10 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_FACTOR_AGREEMENT,10,100,10,100.0,5,10,P0,CONTINUE_OOS,HIGH,20,BLOCKED_NO_HOLDOUT,Only 10 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_FACTOR_INTERACTION,28,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 28.
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_REGIME_AWARE,28,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 28.
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_SCENARIO_WEAPON,28,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 28.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_BASELINE_FAILURE,25,100,6,24.0,0,10,P1,START_OOS_RESEARCH,HIGH,20,BLOCKED_NO_HOLDOUT,Only 6 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_CONDITIONAL_SCORE,25,100,6,24.0,0,10,P1,START_OOS_RESEARCH,HIGH,20,BLOCKED_NO_HOLDOUT,Only 6 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_FACTOR_AGREEMENT,25,100,6,24.0,0,10,P1,START_OOS_RESEARCH,HIGH,20,BLOCKED_NO_HOLDOUT,Only 6 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_FACTOR_INTERACTION,25,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 25.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_REGIME_AWARE,25,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 25.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_SCENARIO_WEAPON,25,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 25.
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_BASELINE_FAILURE,23,100,6,26.09,0,10,P1,START_OOS_RESEARCH,HIGH,20,BLOCKED_NO_HOLDOUT,Only 6 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_CONDITIONAL_SCORE,23,100,6,26.09,0,10,P1,START_OOS_RESEARCH,HIGH,20,BLOCKED_NO_HOLDOUT,Only 6 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_FACTOR_AGREEMENT,23,100,6,26.09,0,10,P1,START_OOS_RESEARCH,HIGH,20,BLOCKED_NO_HOLDOUT,Only 6 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_C_FACTOR_INTERACTION,23,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 23.
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_C_REGIME_AWARE,23,0,0,0.0,0,10,P1,START_OOS_RESEARCH,HIGH,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 23.
