scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,oos_windows,target_oos_windows,oos_gap_to_target,eligibility_status,research_priority,queue_priority,queue_action,queue_reason
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_BASELINE_FAILURE,28,5,10,5,EVIDENCE_PRESENT_EARLY,HIGH,P0,CONTINUE_OOS,Existing genuine OOS evidence exists; continue until the 10-window milestone (5 windows remaining).
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_CONDITIONAL_SCORE,28,5,10,5,EVIDENCE_PRESENT_EARLY,HIGH,P0,CONTINUE_OOS,Existing genuine OOS evidence exists; continue until the 10-window milestone (5 windows remaining).
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_FACTOR_AGREEMENT,28,5,10,5,EVIDENCE_PRESENT_EARLY,HIGH,P0,CONTINUE_OOS,Existing genuine OOS evidence exists; continue until the 10-window milestone (5 windows remaining).
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_BASELINE_FAILURE,10,5,10,5,EVIDENCE_PRESENT_EARLY,HIGH,P0,CONTINUE_OOS,Existing genuine OOS evidence exists; continue until the 10-window milestone (5 windows remaining).
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_CONDITIONAL_SCORE,10,5,10,5,EVIDENCE_PRESENT_EARLY,HIGH,P0,CONTINUE_OOS,Existing genuine OOS evidence exists; continue until the 10-window milestone (5 windows remaining).
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_FACTOR_AGREEMENT,10,5,10,5,EVIDENCE_PRESENT_EARLY,HIGH,P0,CONTINUE_OOS,Existing genuine OOS evidence exists; continue until the 10-window milestone (5 windows remaining).
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_FACTOR_INTERACTION,28,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_REGIME_AWARE,28,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_SCENARIO_WEAPON,28,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_BASELINE_FAILURE,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_CONDITIONAL_SCORE,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_FACTOR_AGREEMENT,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_FACTOR_INTERACTION,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_REGIME_AWARE,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_SCENARIO_WEAPON,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_BASELINE_FAILURE,23,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_CONDITIONAL_SCORE,23,0,10,10,RESEARCHABLE_NO_EVIDENCE,HIGH,P1,START_OOS_RESEARCH,Researchable relationship with mature/high-priority scenario history and no OOS evidence.
