scenario_id,primary_scenario,best_candidate,observations,average_spread,positive_day_pct
UNEXPLORED_14,TREND_UP,TRACK_B_FACTOR_AGREEMENT,1,1.8338333333333328,100.0
UNEXPLORED_15,TREND_UP,TRACK_B_BASELINE_FAILURE,6,0.6251099999999999,66.66666666666666
UNEXPLORED_16,TREND_UP,TRACK_B_BASELINE_FAILURE,6,-0.7596100000000003,33.33333333333333
UNEXPLORED_17,CHOPPY,TRACK_B_CONDITIONAL_SCORE,4,0.3909075000000002,75.0
UNEXPLORED_18,CHOPPY,TRACK_B_CONDITIONAL_SCORE,2,-0.16885000000000014,50.0
UNEXPLORED_19,TREND_DOWN,TRACK_B_FACTOR_AGREEMENT,1,-1.3228111111111112,0.0
UNEXPLORED_20,TREND_DOWN,TRACK_B_BASELINE_FAILURE,10,0.7906110000000002,70.0
UNEXPLORED_21,TREND_DOWN,TRACK_B_BASELINE_FAILURE,5,-0.12378599999999995,20.0
UNEXPLORED_23,CHOPPY,TRACK_B_CONDITIONAL_SCORE,2,1.224795,100.0
UNEXPLORED_24,TREND_UP,TRACK_B_CONDITIONAL_SCORE,1,0.6620699999999999,100.0
UNEXPLORED_25,TREND_UP,TRACK_B_BASELINE_FAILURE,4,-0.5572524999999999,25.0
UNEXPLORED_26,CHOPPY,TRACK_B_CONDITIONAL_SCORE,1,0.03610000000000002,100.0
UNEXPLORED_27,FLAT,TRACK_B_CONDITIONAL_SCORE,1,1.3802400000000001,100.0
UNEXPLORED_28,TREND_DOWN,TRACK_B_BASELINE_FAILURE,8,1.2819925,62.5
UNEXPLORED_29,TREND_DOWN,TRACK_B_FACTOR_AGREEMENT,4,0.5382749999999998,75.0
UNEXPLORED_30,TREND_DOWN,TRACK_B_CONDITIONAL_SCORE,1,-0.5678399999999999,0.0
UNEXPLORED_33,TREND_DOWN,TRACK_B_FACTOR_AGREEMENT,10,-0.8431477777777779,40.0
UNEXPLORED_34,TREND_DOWN,TRACK_B_FACTOR_AGREEMENT,5,-2.018626666666667,40.0
UNEXPLORED_35,CHOPPY,TRACK_B_BASELINE_FAILURE,4,-0.09290250000000017,75.0
UNEXPLORED_36,TREND_UP,TRACK_B_BASELINE_FAILURE,2,0.3088999999999993,50.0
UNEXPLORED_37,TREND_DOWN,TRACK_B_CONDITIONAL_SCORE,1,-3.7979700000000003,0.0
UNEXPLORED_38,TREND_UP,TRACK_B_BASELINE_FAILURE,1,-3.9978799999999994,0.0
UNEXPLORED_39,HIGH_VOL,TRACK_B_FACTOR_AGREEMENT,2,0.4966666666666669,50.0
UNEXPLORED_40,HIGH_VOL,TRACK_B_CONDITIONAL_SCORE,2,0.6831499999999999,100.0
UNEXPLORED_41,HIGH_VOL,TRACK_B_CONDITIONAL_SCORE,1,1.2761900000000002,100.0
UNEXPLORED_42,TREND_UP,TRACK_B_CONDITIONAL_SCORE,3,-0.13759333333333323,33.33333333333333
UNEXPLORED_43,TREND_UP,TRACK_B_FACTOR_AGREEMENT,4,-0.6462861111111111,50.0
UNEXPLORED_44,TREND_DOWN,TRACK_B_FACTOR_AGREEMENT,1,-1.8117444444444448,0.0
UNEXPLORED_45,TREND_UP,TRACK_B_FACTOR_AGREEMENT,1,0.31363333333333365,100.0
UNEXPLORED_46,CHOPPY,TRACK_B_FACTOR_AGREEMENT,2,0.5592833333333331,50.0
UNEXPLORED_47,CHOPPY,TRACK_B_BASELINE_FAILURE,1,0.8176599999999999,100.0
