scenario,factor_a,factor_b,state_a,state_b,target_outcome,episodes,total_observations,target_consistency_pct,positive_uplift_pct,positive_return_pct,mean_target_uplift_pct,median_target_uplift_pct,worst_target_uplift_pct,mean_return_5d,median_return_5d,worst_episode_mean_return_5d,best_episode_mean_return_5d,return_positive_minus_negative_balance,decision,research_status
TREND_UP,trend_score,liquidity_score,LOW,LOW,UP,7,263,85.71428571428571,85.71428571428571,85.71428571428571,11.547815946596568,8.421516754850082,-8.930627023091542,1.1851042823555613,1.300094285714286,-0.7652081081081082,4.152163636363637,5.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,relative_strength,trend_score,LOW,LOW,UP,9,509,77.77777777777779,77.77777777777779,77.77777777777779,10.782264209415445,4.8696384622471385,-9.248592046938917,1.0509796041094173,0.6947555555555555,-1.2080070588235297,3.949191666666666,5.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,intelligence_score,relative_strength,LOW,LOW,UP,9,609,77.77777777777779,88.88888888888889,77.77777777777779,9.92011366280759,5.298593166810214,-6.792224884689407,1.0181952055638437,0.7663185714285714,-0.9512703296703297,4.075426086956522,5.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,relative_strength,liquidity_score,LOW,LOW,UP,8,397,87.5,87.5,75.0,5.048518927629454,4.613487851530731,-3.2436900861546007,0.5496933193387276,0.6726947580645162,-0.4793104166666665,1.1913513513513514,4.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,momentum_score,liquidity_score,LOW,LOW,UP,7,238,85.71428571428571,100.0,71.42857142857143,7.230741885276985,6.357972245822715,1.8549959127208737,0.49478417484631787,0.5531555555555556,-0.2795416666666666,1.169382142857143,3.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,change_pct,intelligence_score,LOW,LOW,UP,8,499,75.0,75.0,75.0,3.4296419528299578,5.423486849236866,-6.842174934639456,0.45052970025567135,0.5489001690331305,-0.7894272727272728,1.5853519999999997,4.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,intelligence_score,liquidity_score,LOW,LOW,UP,8,574,75.0,75.0,75.0,1.8879200511559562,3.684387357479256,-12.078078271808621,0.33349796721225944,0.3999596354166667,-1.149103797468354,1.1108269841269844,4.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,change_pct,liquidity_score,LOW,LOW,UP,8,334,75.0,87.5,75.0,4.252006659283321,4.5446591511685135,-3.2436900861546007,0.32209715612187073,0.2184971288515406,-0.4740500000000001,1.5149481481481482,4.0,ECONOMIC_ROBUSTNESS_CANDIDATE,RESEARCH_ONLY
TREND_UP,trend_score,momentum_score,LOW,HIGH,UP,9,396,77.77777777777779,66.66666666666666,88.88888888888889,11.145306256390317,6.357972245822715,-14.00282250624593,1.4793249387068086,0.8137477272727272,-1.3878205479452057,5.759245454545455,7.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,intelligence_score,trend_score,LOW,LOW,UP,9,731,55.55555555555556,77.77777777777779,77.77777777777779,10.040413949281358,3.258609486679653,-4.915032679738559,1.2319154192142856,0.7105340909090909,-0.718219696969697,5.226755,5.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,trend_score,volatility_score,LOW,LOW,UP,9,571,55.55555555555556,55.55555555555556,66.66666666666666,11.486956800932155,5.448881336731809,-10.327023419487944,1.1918465532945133,0.6481454545454546,-1.1890558333333336,5.0112,3.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,change_pct,trend_score,HIGH,LOW,UP,9,460,77.77777777777779,66.66666666666666,77.77777777777779,9.193784984859294,2.093944538766273,-8.323278101135877,1.1606323962584184,0.3033258064516128,-1.0945674157303371,5.662942424242424,5.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,intelligence_score,liquidity_score,LOW,HIGH,DOWN,9,468,55.55555555555556,44.44444444444444,66.66666666666666,-2.9693369304342485,-0.06467148262814959,-40.57786393427491,0.9605424974337535,0.6192473684210524,-2.0951169230769238,5.555026086956522,3.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,change_pct,intelligence_score,HIGH,LOW,UP,9,551,55.55555555555556,44.44444444444444,66.66666666666666,6.03638167603295,-0.35844566462505156,-9.673760454263803,0.8936519913016063,0.3641595238095239,-0.917266304347826,5.958470967741935,3.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,intelligence_score,momentum_score,LOW,LOW,UP,9,518,77.77777777777779,66.66666666666666,77.77777777777779,8.120184622626399,5.3775800889599665,-4.504946447551305,0.8910659848162472,0.530047191011236,-1.308341975308642,4.226564999999999,5.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,intelligence_score,momentum_score,LOW,HIGH,UP,9,541,55.55555555555556,55.55555555555556,55.55555555555556,5.692708498675208,2.217236639987064,-14.270112850382247,0.8600269232012976,0.5539358974358976,-1.4232341463414635,6.226945000000001,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,trend_score,liquidity_score,LOW,HIGH,DOWN,9,577,55.55555555555556,66.66666666666666,66.66666666666666,-1.7527094581686447,4.768840869681199,-37.23338232892374,0.8399980010640282,0.37865,-1.859927142857144,5.037534615384616,3.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,trend_score,momentum_score,LOW,LOW,UP,9,474,66.66666666666666,66.66666666666666,77.77777777777779,8.007811111783754,4.926359959694672,-6.686063672780946,0.8163522828619103,0.4657629629629631,-1.3046194444444446,4.0751,5.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,relative_strength,trend_score,LOW,LOW,UP,8,1207,62.5,75.0,62.5,9.460528753516682,1.3115346179028613,-11.265209632944394,0.7660166255529193,0.5057112455197131,-1.0883520435967302,3.96831294117647,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,intelligence_score,volatility_score,LOW,LOW,UP,9,679,55.55555555555556,66.66666666666666,55.55555555555556,7.724886456051893,5.480779263366571,-13.541892322395665,0.7528383082341981,0.3388261904761905,-1.3246951999999996,5.3143615384615375,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,trend_score,LOW,LOW,UP,8,1395,62.5,50.0,62.5,8.173525073625196,0.2231331736713198,-9.407970490362118,0.7021226414372865,0.5131139762157071,-1.386822619047619,4.143257352941175,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,momentum_score,volatility_score,LOW,LOW,DOWN,9,511,66.66666666666666,66.66666666666666,55.55555555555556,-3.036840087494465,3.6633986928104463,-39.92569002123143,0.6828971903734311,0.0383515151515151,-0.9786057692307693,4.18835,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,trend_score,HIGH,LOW,UP,5,165,60.0,60.0,60.0,6.892674481842397,13.032445169476155,-13.711470607815723,0.681443433862434,1.2285714285714286,-1.0197533333333333,1.8906361111111116,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,volatility_score,liquidity_score,LOW,HIGH,UP,9,1101,66.66666666666666,55.55555555555556,55.55555555555556,6.4798002962116374,0.573235886742907,-9.473753882007873,0.6803831231801561,0.2095999999999999,-1.4307535885167466,4.902870967741935,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,change_pct,trend_score,LOW,LOW,UP,8,400,62.5,62.5,75.0,5.7058383006602,5.800664170898855,-8.660356752821272,0.6801649880236182,0.7385596313364056,-1.0048549999999998,3.4225931034482766,4.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,relative_strength,LOW,LOW,UP,8,1327,62.5,50.0,62.5,9.128268368941711,0.9460521878920325,-11.622098627139401,0.6153561929468434,0.4637830397727274,-1.5081226804123713,3.887191111111111,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,relative_strength,volatility_score,LOW,LOW,UP,8,753,75.0,75.0,62.5,6.26693200133329,2.594642498508467,-8.809610484164555,0.5761680534448803,0.327227599323753,-1.3170216417910448,4.104911111111112,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,trend_score,liquidity_score,LOW,LOW,DOWN,8,812,50.0,50.0,50.0,-2.1262530013281724,-4.863987746033416,-37.76978417266187,0.5680519675957534,0.19369668599834294,-1.7328204778156997,4.671454166666667,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,relative_strength,trend_score,HIGH,LOW,UP,8,342,62.5,50.0,62.5,2.5140841276968495,1.743485955269641,-13.003267973856214,0.564611703733439,0.329354967948718,-0.8943369047619049,3.887512000000001,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,trend_score,LOW,LOW,UP,8,1954,62.5,50.0,62.5,7.172386964702117,-0.0429574521497571,-15.096622575927334,0.5623714836184439,0.43424235051546395,-1.4440149122807018,4.1710688,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,trend_score,volatility_score,LOW,LOW,DOWN,8,1554,50.0,62.5,62.5,2.9772274347828063,6.815884611071873,-24.294606867697333,0.5622356545417754,0.3299340375369822,-1.3283284403669726,3.7714141843971634,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
