scenario,factor_a,factor_b,state_a,state_b,observations,down_count,flat_count,up_count,mean_return_5d,median_return_5d,oos_folds,down_pct,flat_pct,up_pct,dominant_outcome,dominant_probability_pct,oos_stability,source_factor,source_state,source_predictive_status,source_mean_lift,source_positive_rate_lift,candidate_score
TREND_DOWN,change_pct,momentum_score,LOW,HIGH,23,8,3,12,1.3929521739130435,0.69,1,34.78260869565217,13.043478260869565,52.17391304347826,UP,52.17391304347826,SINGLE_FOLD,momentum_score,HIGH,POSITIVE,0.2410687260166132,4.267674895593927,59.59867391304348
TREND_DOWN,relative_strength,momentum_score,LOW,HIGH,129,48,13,68,0.6879257216117216,0.6926749999999999,4,37.2093023255814,10.07751937984496,52.71317829457365,UP,52.71317829457365,REPEATED,momentum_score,HIGH,POSITIVE,0.2410687260166132,4.267674895593927,58.732806902632255
TREND_DOWN,relative_strength,volatility_score,LOW,HIGH,466,176,76,214,0.1340380839488142,0.1528166666666666,6,37.76824034334764,16.30901287553648,45.92274678111588,UP,45.92274678111588,REPEATED,volatility_score,HIGH,POSITIVE,0.4261586163380032,2.8347344015128826,55.91293720085996
TREND_DOWN,change_pct,volatility_score,LOW,HIGH,570,228,88,254,0.1982095221433595,0.1220333333333334,6,40.0,15.43859649122807,44.56140350877193,UP,44.56140350877193,REPEATED,volatility_score,HIGH,POSITIVE,0.4261586163380032,2.8347344015128826,55.55245111948873
TREND_DOWN,intelligence_score,volatility_score,LOW,HIGH,640,252,102,286,0.1221433344638522,0.0302083333333334,6,39.375,15.937499999999998,44.6875,UP,44.6875,REPEATED,volatility_score,HIGH,POSITIVE,0.4261586163380032,2.8347344015128826,55.29821667231926
TREND_DOWN,trend_score,momentum_score,HIGH,HIGH,711,296,96,319,0.0805509438654153,0.1445375,8,41.63150492264416,13.502109704641349,44.86638537271448,UP,44.86638537271448,REPEATED,momentum_score,HIGH,POSITIVE,0.2410687260166132,4.267674895593927,55.26914009204156
TREND_DOWN,intelligence_score,momentum_score,HIGH,HIGH,684,297,80,307,0.0650705300502167,0.1448,8,43.42105263157895,11.695906432748536,44.88304093567251,UP,44.88304093567251,REPEATED,momentum_score,HIGH,POSITIVE,0.2410687260166132,4.267674895593927,55.208393585923595
TREND_DOWN,change_pct,momentum_score,HIGH,HIGH,1087,483,129,475,0.2383007360640982,0.187075,8,44.43422263109476,11.86752529898804,43.6982520699172,DOWN,44.43422263109476,REPEATED,momentum_score,HIGH,POSITIVE,0.2410687260166132,4.267674895593927,54.8897557502377
TREND_DOWN,momentum_score,volatility_score,HIGH,LOW,880,411,87,382,0.2642812708518125,0.06883125,8,46.70454545454545,9.886363636363637,43.40909090909091,DOWN,46.70454545454545,REPEATED,momentum_score,HIGH,POSITIVE,0.2410687260166132,4.267674895593927,54.73049726334997
TREND_DOWN,volatility_score,liquidity_score,HIGH,HIGH,489,186,85,218,0.0591975576984368,0.0733333333333333,6,38.036809815950924,17.38241308793456,44.58077709611453,UP,44.58077709611453,REPEATED,volatility_score,HIGH,POSITIVE,0.4261586163380032,2.8347344015128826,54.656764884606716
