scenario,factor,horizon_days,oos_fold_count,oos_finite_ic_folds,oos_mean_ic,oos_ic_std,oos_icir,oos_positive_ic_fold_pct,oos_ic_ci_low,oos_ic_ci_high,raw_sign_p_value,oos_mean_daily_top_bottom_spread_pct,oos_positive_spread_day_pct,oos_spread_observations,adjusted_p_value,evidence_classification,research_action
CHOPPY,intelligence_score,1,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,intelligence_score,5,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,intelligence_score,10,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,intelligence_score,20,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,trend_score,1,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,trend_score,5,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,trend_score,10,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,trend_score,20,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,volatility_score,1,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,volatility_score,5,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,volatility_score,10,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
CHOPPY,volatility_score,20,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,intelligence_score,1,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,intelligence_score,5,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,intelligence_score,10,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,intelligence_score,20,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,trend_score,1,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,trend_score,5,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,trend_score,10,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
FLAT,trend_score,20,0,0,,,,,,,,,,0,,INSUFFICIENT_OOS_WINDOWS,Collect more history; insufficient independent OOS windows.
